0	parameters	time (sec)	CPU memory (MB)	id	true_motif	find_motif	average_similarity
99	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun se -mod anr <input file> -oc <output path>	7610	437	meme_99	0	10	0.1012560230748698
100	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun se -mod anr <input file> -oc <output path>	7265	440	meme_100	0	10	0.13927517549055385
101	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun se -mod anr <input file> -oc <output path>	8193	438	meme_101	3	10	0.5685299534669754
102	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun se -mod anr <input file> -oc <output path>	8677	442	meme_102	2	10	0.5805554787607813
103	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun se -mod anr <input file> -oc <output path>	8586	439	meme_103	2	10	0.49965845552128885
104	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun se -mod anr <input file> -oc <output path>	8518	432	meme_104	2	10	0.5546384801615828
105	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun se -mod anr <input file> -oc <output path>	8046	435	meme_105	2	10	0.5268867372488109
106	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun se -mod anr <input file> -oc <output path>	7773	442	meme_106	2	10	0.4305765820610826
107	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun se -mod anr <input file> -oc <output path>	6351	437	meme_107	2	10	0.3701453888570135
108	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun se -mod anr <input file> -oc <output path>	7570	433	meme_108	2	10	0.553773823378408
109	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun cd -mod anr <input file> -oc <output path>	0	12	meme_109	0	0	0
110	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun cd -mod anr <input file> -oc <output path>	0	19	meme_110	0	0	0
111	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun cd -mod anr <input file> -oc <output path>	0	13	meme_111	0	0	0
112	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun cd -mod anr <input file> -oc <output path>	0	19	meme_112	0	0	0
113	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun cd -mod anr <input file> -oc <output path>	0	19	meme_113	0	0	0
114	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun cd -mod anr <input file> -oc <output path>	0	19	meme_114	0	0	0
115	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 2 -objfun cd -mod anr <input file> -oc <output path>	0	20	meme_115	0	0	0
116	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 3 -objfun cd -mod anr <input file> -oc <output path>	0	17	meme_116	0	0	0
117	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 0 -objfun cd -mod anr <input file> -oc <output path>	0	15	meme_117	0	0	0
118	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 1 -objfun cd -mod anr <input file> -oc <output path>	0	19	meme_118	0	0	0
119	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 2 -objfun cd -mod anr <input file> -oc <output path>	0	19	meme_119	0	0	0
120	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 15 -minw 6 -markov_order 3 -objfun cd -mod anr <input file> -oc <output path>	0	13	meme_120	0	0	0
121	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 0 -objfun nc -mod anr <input file> -oc <output path>	2758	338	meme_121	1	7	0.4144898146170507
122	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 1 -objfun nc -mod anr <input file> -oc <output path>	2753	340	meme_122	1	8	0.49612184216192623
123	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 2 -objfun nc -mod anr <input file> -oc <output path>	2762	340	meme_123	0	9	0.474017492768344
124	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 8 -minw 6 -markov_order 3 -objfun nc -mod anr <input file> -oc <output path>	2718	339	meme_124	0	10	0.4512067614047689
125	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 0 -objfun nc -mod anr <input file> -oc <output path>	3964	474	meme_125	3	10	0.5682141731509479
126	/share/public/apps/meme/5.3.3/bin/meme -rna -nmotifs 10 -maxw 12 -minw 6 -markov_order 1 -objfun nc -mod anr <input file> -oc <output path>	3975	467	meme_126	4	10	0.5700093854350561
